# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 3.14000000e+00
# Aref          : 3.14000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
50.322          	1.17526785e-04	1.07639963e+00	-5.76816858e-01	-2.88290902e-01	-2.88525956e-01
50.324          	1.18893363e-04	1.07679150e+00	-5.77150225e-01	-2.88456219e-01	-2.88694006e-01
50.326          	1.20578366e-04	1.07705190e+00	-5.77610754e-01	-2.88684799e-01	-2.88925955e-01
50.328          	1.22313223e-04	1.07742700e+00	-5.77822805e-01	-2.88789089e-01	-2.89033716e-01
50.33           	1.23958800e-04	1.07752256e+00	-5.78230634e-01	-2.88991358e-01	-2.89239276e-01
50.332          	1.25557940e-04	1.07733794e+00	-5.78723310e-01	-2.89236097e-01	-2.89487213e-01
50.334          	1.27034023e-04	1.07702014e+00	-5.79012260e-01	-2.89379096e-01	-2.89633164e-01
50.336          	1.28199859e-04	1.07715854e+00	-5.79193873e-01	-2.89468736e-01	-2.89725136e-01
50.338          	1.28908265e-04	1.07750293e+00	-5.79331171e-01	-2.89536677e-01	-2.89794494e-01
50.34           	1.29516178e-04	1.07740203e+00	-5.79444070e-01	-2.89592519e-01	-2.89851551e-01
50.342          	1.29703445e-04	1.07726298e+00	-5.79589264e-01	-2.89664928e-01	-2.89924335e-01
50.344          	1.29530844e-04	1.07731201e+00	-5.79762600e-01	-2.89751769e-01	-2.90010831e-01
50.346          	1.28915907e-04	1.07720490e+00	-5.80128772e-01	-2.89935470e-01	-2.90193302e-01
50.348          	1.27911952e-04	1.07687293e+00	-5.80477442e-01	-2.90110809e-01	-2.90366633e-01
50.35           	1.26861820e-04	1.07699433e+00	-5.80790715e-01	-2.90268495e-01	-2.90522219e-01
50.352          	1.25988478e-04	1.07673985e+00	-5.81416516e-01	-2.90582270e-01	-2.90834246e-01
50.354          	1.25567155e-04	1.07658789e+00	-5.81710001e-01	-2.90729434e-01	-2.90980568e-01
50.356          	1.25235918e-04	1.07677176e+00	-5.82088862e-01	-2.90919195e-01	-2.91169667e-01
50.358          	1.24596028e-04	1.07668090e+00	-5.82420408e-01	-2.91085608e-01	-2.91334800e-01
50.36           	1.23942119e-04	1.07654441e+00	-5.83033690e-01	-2.91392903e-01	-2.91640787e-01
50.362          	1.23226621e-04	1.07619753e+00	-5.83819291e-01	-2.91786419e-01	-2.92032872e-01
50.364          	1.22683500e-04	1.07569483e+00	-5.84609528e-01	-2.92182080e-01	-2.92427447e-01
50.366          	1.22396559e-04	1.07619696e+00	-5.85221793e-01	-2.92488500e-01	-2.92733293e-01
50.368          	1.21656291e-04	1.07651669e+00	-5.85568842e-01	-2.92662765e-01	-2.92906077e-01
50.37           	1.21086695e-04	1.07669732e+00	-5.86116316e-01	-2.92937071e-01	-2.93179245e-01
50.372          	1.20480614e-04	1.07628747e+00	-5.86506719e-01	-2.93132879e-01	-2.93373840e-01
50.374          	1.20200518e-04	1.07620044e+00	-5.87144533e-01	-2.93452066e-01	-2.93692467e-01
50.376          	1.20218858e-04	1.07641084e+00	-5.87592353e-01	-2.93675958e-01	-2.93916396e-01
50.378          	1.20637348e-04	1.07628953e+00	-5.88196463e-01	-2.93977594e-01	-2.94218869e-01
50.38           	1.21172211e-04	1.07643159e+00	-5.88691191e-01	-2.94224423e-01	-2.94466767e-01
50.382          	1.21385981e-04	1.07685829e+00	-5.88957282e-01	-2.94357255e-01	-2.94600027e-01
50.384          	1.21837833e-04	1.07710888e+00	-5.89682341e-01	-2.94719332e-01	-2.94963008e-01
50.386          	1.22589342e-04	1.07706800e+00	-5.90551267e-01	-2.95153044e-01	-2.95398223e-01
50.388          	1.23294267e-04	1.07674405e+00	-5.90851582e-01	-2.95302497e-01	-2.95549085e-01
50.39           	1.24028762e-04	1.07717119e+00	-5.91189021e-01	-2.95470482e-01	-2.95718539e-01
50.392          	1.24719146e-04	1.07745432e+00	-5.91573200e-01	-2.95661881e-01	-2.95911319e-01
50.394          	1.25208635e-04	1.07733987e+00	-5.91988051e-01	-2.95868817e-01	-2.96119234e-01
50.396          	1.25775245e-04	1.07762678e+00	-5.92135972e-01	-2.95942211e-01	-2.96193761e-01
50.398          	1.26502422e-04	1.07745394e+00	-5.92497708e-01	-2.96122351e-01	-2.96375356e-01
50.4            	1.27315878e-04	1.07772522e+00	-5.93028084e-01	-2.96386726e-01	-2.96641358e-01
50.402          	1.28197798e-04	1.07781467e+00	-5.93523172e-01	-2.96633388e-01	-2.96889784e-01
50.404          	1.28861833e-04	1.07798726e+00	-5.93906764e-01	-2.96824520e-01	-2.97082244e-01
50.406          	1.29375221e-04	1.07837899e+00	-5.94439053e-01	-2.97090151e-01	-2.97348902e-01
50.408          	1.30052996e-04	1.07866681e+00	-5.95095900e-01	-2.97417897e-01	-2.97678003e-01
50.41           	1.30713457e-04	1.07863639e+00	-5.95715155e-01	-2.97726864e-01	-2.97988291e-01
50.412          	1.31105030e-04	1.07895988e+00	-5.95900454e-01	-2.97819122e-01	-2.98081332e-01
50.414          	1.31362266e-04	1.07915771e+00	-5.96055148e-01	-2.97896212e-01	-2.98158936e-01
50.416          	1.31809588e-04	1.07884143e+00	-5.96452471e-01	-2.98094426e-01	-2.98358045e-01
50.418          	1.32634077e-04	1.07886007e+00	-5.96346375e-01	-2.98040553e-01	-2.98305822e-01
50.42           	1.33464792e-04	1.07901589e+00	-5.96300437e-01	-2.98016754e-01	-2.98283683e-01
50.422          	1.34318115e-04	1.07912968e+00	-5.96467056e-01	-2.98099210e-01	-2.98367846e-01
50.424          	1.35250377e-04	1.07926029e+00	-5.96277560e-01	-2.98003530e-01	-2.98274030e-01
50.426          	1.36260703e-04	1.07925805e+00	-5.96232852e-01	-2.97980165e-01	-2.98252687e-01
50.428          	1.37096687e-04	1.07887980e+00	-5.95728349e-01	-2.97727078e-01	-2.98001271e-01
50.43           	1.37782421e-04	1.07840130e+00	-5.95031990e-01	-2.97378212e-01	-2.97653777e-01
50.432          	1.38442154e-04	1.07801034e+00	-5.95320323e-01	-2.97521719e-01	-2.97798604e-01
50.434          	1.38710844e-04	1.07749966e+00	-5.95767745e-01	-2.97745161e-01	-2.98022583e-01
50.436          	1.38764652e-04	1.07760796e+00	-5.96102340e-01	-2.97912406e-01	-2.98189935e-01
50.438          	1.38524621e-04	1.07749991e+00	-5.96364237e-01	-2.98043594e-01	-2.98320643e-01
50.44           	1.37688601e-04	1.07812021e+00	-5.97051028e-01	-2.98387825e-01	-2.98663203e-01
50.442          	1.35945801e-04	1.07832292e+00	-5.97431676e-01	-2.98579892e-01	-2.98851784e-01
50.444          	1.34020593e-04	1.07785440e+00	-5.98036328e-01	-2.98884143e-01	-2.99152184e-01
50.446          	1.31994932e-04	1.07800537e+00	-5.98238447e-01	-2.98987229e-01	-2.99251218e-01
50.448          	1.30144492e-04	1.07780675e+00	-5.98999282e-01	-2.99369496e-01	-2.99629785e-01
50.45           	1.28633947e-04	1.07811721e+00	-5.99431678e-01	-2.99587205e-01	-2.99844473e-01
50.452          	1.27067757e-04	1.07826421e+00	-6.00127106e-01	-2.99936485e-01	-3.00190621e-01
50.454          	1.25969249e-04	1.07814341e+00	-6.00737734e-01	-3.00242898e-01	-3.00494836e-01
50.456          	1.25087892e-04	1.07848413e+00	-6.01258837e-01	-3.00504331e-01	-3.00754506e-01
50.458          	1.24330957e-04	1.07838739e+00	-6.01730015e-01	-3.00740676e-01	-3.00989338e-01
