#    distance           U_x           U_y           U_z
      170.854      0.554073     0.0028178  -1.30915e-06
      171.859      0.565515    0.00216777  -2.70678e-05
      172.864      0.577921    0.00244955  -2.53337e-05
      173.869      0.589103    0.00258674  -2.44646e-05
      174.874      0.602085    0.00143059  -2.78805e-05
      175.879      0.613499    0.00184051   3.46929e-07
      176.884      0.624775    0.00120412  -2.22725e-05
      177.889      0.635694    0.00101436  -3.21017e-05
      178.894      0.647054    0.00119904   -2.7698e-05
      179.899      0.657401   0.000575096  -3.08827e-05
      180.905      0.667338   0.000160957  -4.03681e-05
       181.91      0.676731  -0.000365465  -7.34165e-05
      182.915      0.686045  -0.000982571  -1.09868e-05
       183.92      0.694439   -0.00108719  -3.05451e-06
      184.925      0.702303   -0.00136579  -2.06883e-05
       185.93      0.710062   -0.00180301   5.76796e-06
      186.935      0.717215   -0.00174504   4.00204e-06
       187.94      0.724055   -0.00238595   4.38653e-06
      188.945      0.730037    -0.0019853   2.45517e-06
       189.95      0.736307   -0.00206542   1.26023e-06
      190.955      0.741144   -0.00216575   3.26694e-05
       191.96      0.746052   -0.00206131   4.38571e-05
      192.965      0.750851   -0.00207189   6.02132e-05
       193.97      0.754911   -0.00214794   4.57365e-05
      194.975      0.758249   -0.00226169   7.21718e-06
       195.98      0.761963   -0.00232057  -2.88524e-05
      196.985      0.764944   -0.00232538  -1.09522e-05
       197.99      0.767687   -0.00196678  -5.15914e-06
      198.995      0.770568   -0.00197491   2.92404e-06
