UMean:0	Points:0
0.78169	14.318
0.78197	14.338
0.78225	14.358
0.78252	14.378
0.7828	14.398
0.7831	14.418
0.7834	14.438
0.78371	14.458
0.78401	14.478
0.78432	14.498
0.78462	14.518
0.78492	14.538
0.78523	14.558
0.78553	14.578
0.78583	14.598
0.78614	14.618
0.78644	14.638
0.78675	14.658
0.78705	14.678
0.78735	14.698
0.78766	14.718
0.78797	14.738
0.78829	14.758
0.78861	14.778
0.78892	14.798
0.78924	14.818
0.78956	14.838
0.78987	14.858
0.79019	14.878
0.79051	14.898
0.79082	14.918
0.79114	14.938
0.79146	14.958
0.79177	14.978
0.79209	14.998
0.79241	15.018
0.79272	15.038
0.79305	15.058
0.79338	15.078
0.7937	15.098
0.79403	15.118
0.79436	15.138
0.79468	15.158
0.79501	15.178
0.79534	15.198
0.79566	15.218
0.79599	15.238
0.79632	15.258
0.79664	15.278
0.79697	15.298
0.7973	15.318
0.79762	15.338
0.79795	15.358
0.79824	15.378
0.79853	15.397
0.79882	15.417
0.79911	15.437
0.7994	15.457
0.79969	15.477
0.79997	15.497
0.80026	15.517
0.80055	15.537
0.80084	15.557
0.80113	15.577
0.80142	15.597
0.8017	15.617
0.80199	15.637
0.80228	15.657
0.80257	15.677
0.80291	15.697
0.80326	15.717
0.8036	15.737
0.80395	15.757
0.8043	15.777
0.80465	15.797
0.805	15.817
0.80534	15.837
0.80569	15.857
0.80604	15.877
0.80639	15.897
0.80674	15.917
0.80708	15.937
0.80743	15.957
0.80778	15.977
0.80813	15.997
0.80841	16.017
0.80869	16.037
0.80896	16.057
0.80924	16.077
0.80952	16.097
0.80979	16.117
0.81007	16.137
0.81034	16.157
0.81062	16.177
0.8109	16.197
0.81117	16.217
0.81145	16.237
0.81172	16.257
0.812	16.277
0.81228	16.297
0.81255	16.317
0.81281	16.337
0.81307	16.357
0.81333	16.377
0.81358	16.397
0.81384	16.417
0.8141	16.437
0.81435	16.457
0.81461	16.477
0.81487	16.497
0.81513	16.517
0.81538	16.537
0.81564	16.557
0.8159	16.577
0.81615	16.597
0.81641	16.617
0.81667	16.637
0.8169	16.657
0.81713	16.677
0.81735	16.697
0.81758	16.717
0.81781	16.737
0.81804	16.757
0.81826	16.777
0.81849	16.797
0.81872	16.817
0.81895	16.837
0.81917	16.857
0.8194	16.877
0.81963	16.897
0.81986	16.917
0.82008	16.937
0.82031	16.957
0.82054	16.977
0.82078	16.997
0.82101	17.017
0.82124	17.037
0.82148	17.057
0.82171	17.077
0.82195	17.097
0.82218	17.117
0.82241	17.137
0.82265	17.157
0.82288	17.177
0.82312	17.197
0.82335	17.217
0.82358	17.237
0.82382	17.257
0.82405	17.277
0.8242	17.297
0.82434	17.317
0.82448	17.337
0.82462	17.357
0.82476	17.377
0.82489	17.397
0.82503	17.417
0.82517	17.437
0.82531	17.457
0.82545	17.477
0.82558	17.497
0.82572	17.517
0.82586	17.537
0.826	17.557
0.82614	17.577
0.82628	17.597
0.82702	17.617
0.82786	17.637
0.8287	17.657
0.82955	17.677
0.83039	17.697
0.83123	17.717
0.83208	17.737
0.83292	17.757
0.83376	17.777
0.83461	17.797
0.83545	17.817
0.83629	17.837
0.83713	17.857
0.83798	17.877
0.83882	17.897
0.83966	17.917
0.83996	17.937
0.84015	17.957
0.84035	17.977
0.84055	17.997
